"Cube","16550","26117","30198","34831","36822","38135","39693","40726","40985","40957","40468","40042","39087","38194","37182","35167","33826","32151","30462","28367","26285","23972","21273","18620","15847","13094","10487","8277","6077","4333","2915","1937","1158","696","391","164","80","35","19","4"
"Cube","16388","26026","30410","34318","36641","37413","39084","39518","39575","39346","38883","38397","37993","36364","35398","34232","33053","31379","29240","27684","25800","23787","21394","18951","16787","14558","12448","10558","9007","7143","5115","3649","2373","1419","752","333","138","43","22","5"
"Cube","15847","25267","29428","33154","35898","37068","37816","39022","38868","38700","38519","38318","36896","36411","35242","33994","32854","31029","29594","27900","26134","24269","21883","19895","17969","15522","13355","11477","9673","7828","5786","4047","2681","1683","907","425","165","64","28","8"
"Cube","15805","24948","30538","32249","36211","35877","38303","37839","38385","37319","37908","36808","36581","35421","34606","32973","31546","30224","28738","27173","25209","23493","21552","19491","17416","15282","13797","12207","10518","9204","7848","6590","5361","3801","2360","1255","553","179","43","13"
"Cube","15301","24185","29508","32257","35039","37104","37734","39020","40035","39814","39610","39274","39028","38455","37416","36566","35096","33894","32020","29879","27958","25533","23066","19730","16592","13803","11112","8639","6295","4425","3030","1960","1100","564","315","154","71","27","9","6"
"Hand","74051","103865","99880","88810","78077","67989","58016","49767","42259","35732","29921","25080","20711","16939","13728","11086","9006","7191","5698","4466","3504","2613","2014","1464","1122","792","599","390","275","202","154","80","62","39","23","11","3","3","1","1"
"Hand","93313","110694","101797","89488","77388","65775","55403","45937","38642","32301","26933","22119","18513","15032","12506","9998","8245","6607","5439","4241","3417","2766","2238","1661","1315","1018","837","586","450","306","226","163","105","68","50","21","16","5","3","2"
"Hand","76266","111017","105459","93125","80517","68914","57831","48443","40468","33352","27659","22377","18097","14961","11958","9549","7568","6086","4864","3852","3144","2382","1817","1507","1203","834","630","520","348","284","181","131","105","63","42","21","24","17","5","3"
"Hand","96799","115407","103674","89082","74684","62701","53201","44699","37379","31315","26400","21932","18506","15136","12658","10340","8597","6953","5691","4540","3652","2831","2272","1796","1429","1001","842","663","470","302","248","135","111","83","46","19","19","4","6","1"
"Hand","70706","106566","108748","99174","86807","73626","60923","50357","41368","33210","26859","21179","16985","13419","10472","8263","6419","4792","3891","3112","2295","1808","1266","940","715","529","350","274","187","133","97","63","41","27","8","5","4","4","1","1"
"Head","29535","51215","60868","66156","70474","72263","72273","69995","66154","59634","50329","40857","33295","26385","20870","16588","13368","10438","7895","5561","3951","2594","1714","971","624","425","315","217","175","142","100","83","58","35","33","16","6","8","3","1"
"Head","22440","39536","46760","51187","53119","54354","55850","56630","56054","54803","52614","49270","45223","39786","35065","30177","25674","21814","17850","14095","10621","7638","5222","3469","2226","1505","1020","619","390","243","154","83","57","35","16","12","8","3","0","2"
"Head","24457","42390","50589","55785","59287","61178","62859","63152","62498","61078","57437","51890","44934","36152","28637","22908","17913","14197","10676","8132","5962","4308","3247","2249","1436","969","576","339","153","99","46","28","23","12","8","8","5","3","0","4"
"Sphere","7253","13788","17192","20052","21845","23510","24436","25783","26273","26747","27276","27698","27979","27950","28120","27777","28010","27993","27610","27213","26654","26636","26238","25494","24968","24245","23484","22882","21882","21092","20115","19011","17681","16614","15273","13419","11222","8660","4862","687"
